Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,5.98,6.25,5.70,5.93,22000,5.93
2014-12-30,5.98,5.98,5.98,5.98,400,5.98
2014-12-29,6.97,6.97,6.40,6.40,2600,6.40
2014-12-26,6.97,7.00,6.61,6.96,6600,6.96
2014-12-24,7.00,7.00,6.61,6.61,4400,6.61
2014-12-23,7.00,7.00,6.40,6.40,6900,6.40
2014-12-22,6.95,7.30,6.95,6.95,5000,6.95
2014-12-19,7.02,7.02,6.55,6.90,7200,6.90
2014-12-18,7.53,7.53,6.80,6.90,1900,6.90
2014-12-17,7.00,7.45,7.00,7.45,2000,7.45
2014-12-16,8.02,8.02,7.81,7.82,1700,7.82
2014-12-15,7.49,8.00,7.49,8.00,1100,8.00
2014-12-12,7.32,8.12,7.32,8.12,400,8.12
2014-12-11,8.28,8.73,7.32,8.73,4200,8.73
2014-12-10,8.04,8.24,8.00,8.24,2000,8.24
2014-12-09,7.91,8.35,7.87,8.24,5100,8.24
2014-12-08,7.29,7.74,7.09,7.47,3700,7.47
2014-12-05,7.13,7.31,7.00,7.03,4200,7.03
2014-12-04,7.25,7.50,7.25,7.50,2900,7.50
2014-12-03,7.55,7.55,7.25,7.30,2500,7.30
2014-12-02,8.19,8.20,7.25,7.54,7100,7.54
2014-12-01,8.30,8.85,7.76,7.90,5800,7.90
2014-11-28,8.59,8.59,7.50,7.50,5000,7.50
2014-11-26,7.56,8.86,7.56,8.32,1700,8.32
2014-11-25,7.55,8.00,7.29,7.29,900,7.29
2014-11-24,8.04,8.66,7.33,8.09,9600,8.09
2014-11-21,8.05,8.66,7.00,8.66,15000,8.66
2014-11-20,8.90,8.90,8.03,8.28,5600,8.28
2014-11-19,8.10,8.91,8.10,8.91,400,8.91
2014-11-18,8.00,8.20,7.78,8.10,4300,8.10
2014-11-17,8.17,8.31,8.00,8.19,1100,8.19
2014-11-14,8.01,8.21,7.97,8.00,9600,8.00
2014-11-13,7.25,7.77,7.25,7.76,2900,7.76
2014-11-12,7.74,7.74,7.74,7.74,000,7.74
2014-11-11,7.74,7.74,7.74,7.74,000,7.74
2014-11-10,7.75,7.75,7.00,7.74,3800,7.74
2014-11-07,6.20,7.72,6.20,7.72,6100,7.72
2014-11-06,6.79,6.85,6.05,6.80,3000,6.80
2014-11-05,7.03,7.03,6.55,6.78,4100,6.78
2014-11-04,7.01,7.01,6.96,7.00,1100,7.00
2014-11-03,7.38,7.38,7.38,7.38,000,7.38
2014-10-31,6.06,7.49,6.00,7.38,15500,7.38
2014-10-30,6.25,6.89,6.25,6.82,10200,6.82
2014-10-29,5.95,6.50,5.95,6.50,2000,6.50
2014-10-28,6.40,6.99,6.40,6.61,7100,6.61
2014-10-27,7.02,7.02,6.22,6.68,16300,6.68
2014-10-24,6.59,6.95,6.54,6.93,3900,6.93
2014-10-23,6.93,7.13,6.54,6.54,30100,6.54
2014-10-22,5.91,7.45,5.55,6.86,28600,6.86
2014-10-21,5.00,5.88,5.00,5.71,19000,5.71
2014-10-20,5.29,5.35,4.85,5.30,30300,5.30
2014-10-17,5.30,5.31,5.01,5.31,79100,5.31
2014-10-16,4.90,5.05,4.90,4.98,21600,4.98
2014-10-15,4.52,5.00,4.52,4.81,29100,4.81
2014-10-14,5.20,5.20,4.45,4.45,20800,4.45
2014-10-13,5.34,5.34,5.34,5.34,000,5.34
2014-10-10,5.47,5.55,5.15,5.34,3600,5.34
2014-10-09,5.60,5.75,5.46,5.49,10500,5.49
2014-10-08,5.18,5.90,5.18,5.62,16100,5.62
2014-10-07,5.70,5.70,5.15,5.48,9900,5.48
2014-10-06,6.21,6.38,5.23,5.49,11200,5.49
2014-10-03,6.14,6.40,6.14,6.35,800,6.35
2014-10-02,6.49,6.55,6.36,6.46,2500,6.46
2014-10-01,6.87,6.89,6.55,6.79,2000,6.79
2014-09-30,6.68,6.68,6.15,6.60,6400,6.60
2014-09-29,6.90,6.90,6.87,6.90,3100,6.90
2014-09-26,6.76,6.76,6.50,6.50,8300,6.50
2014-09-25,6.53,7.01,6.50,6.60,9900,6.60
2014-09-24,6.86,6.95,6.50,6.50,7700,6.50
2014-09-23,6.65,6.96,6.51,6.75,13300,6.75
2014-09-22,6.76,7.11,6.60,6.98,7500,6.98
2014-09-19,7.31,7.51,6.70,6.75,4600,6.75
2014-09-18,8.10,8.20,7.10,7.87,10300,7.87
2014-09-17,8.15,8.40,8.15,8.20,3400,8.20
2014-09-16,8.10,8.41,8.10,8.34,4300,8.34
2014-09-15,8.17,8.41,8.03,8.32,7100,8.32
2014-09-12,8.29,8.44,8.14,8.44,1100,8.44
2014-09-11,8.11,8.36,8.11,8.35,2500,8.35
2014-09-10,8.31,8.31,8.05,8.10,6100,8.10
2014-09-09,8.60,8.60,8.25,8.33,17100,8.33
2014-09-08,8.50,8.62,8.50,8.52,10300,8.52
2014-09-05,8.24,8.45,8.22,8.36,20000,8.36
2014-09-04,8.25,8.25,8.25,8.25,300,8.25
2014-09-03,8.45,8.45,8.15,8.16,10600,8.16
2014-09-02,8.50,8.77,8.11,8.56,14100,8.56
2014-08-29,8.29,8.73,8.26,8.54,8200,8.54
2014-08-28,7.70,8.23,7.70,8.23,12700,8.23
2014-08-27,7.80,8.00,7.80,7.90,18500,7.90
2014-08-26,8.11,8.15,7.75,8.15,36800,8.15
2014-08-25,8.56,8.56,8.04,8.28,284300,8.28
2014-08-22,8.73,8.75,8.34,8.41,5000,8.41
2014-08-21,8.86,9.12,8.80,8.80,8600,8.80
2014-08-20,9.00,9.30,9.00,9.02,35600,9.02
2014-08-19,8.95,9.10,8.85,9.00,103800,9.00
2014-08-18,8.10,8.80,8.10,8.80,40900,8.80
2014-08-15,8.25,8.25,8.15,8.15,6200,8.15
2014-08-14,8.45,8.45,8.25,8.25,6900,8.25
2014-08-13,8.32,8.50,8.25,8.26,12100,8.26
2014-08-12,8.30,8.44,8.30,8.31,2200,8.31
2014-08-11,8.77,8.77,8.26,8.45,2400,8.45
2014-08-08,8.55,8.55,8.31,8.53,10200,8.53
2014-08-07,8.55,8.55,8.25,8.50,14300,8.50
2014-08-06,8.29,8.79,8.25,8.59,24100,8.59
2014-08-05,8.25,8.68,8.25,8.59,15900,8.59
2014-08-04,8.26,9.10,8.26,8.61,14400,8.61
2014-08-01,8.43,8.51,8.00,8.50,34700,8.50
2014-07-31,8.90,9.09,8.44,8.44,90400,8.44
2014-07-30,9.01,9.09,9.00,9.00,84600,9.00
2014-07-29,9.00,9.01,9.00,9.00,81800,9.00
2014-07-28,9.00,9.03,8.99,9.00,165900,9.00
2014-07-25,9.00,9.51,8.50,9.00,1390800,9.00
