Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,9.76,9.77,9.40,9.52,85000,9.52
2014-12-30,9.74,9.79,9.67,9.72,2600,9.72
2014-12-29,9.50,9.74,9.31,9.71,60300,9.71
2014-12-26,9.83,9.83,9.25,9.54,126100,9.54
2014-12-24,9.20,9.32,8.92,9.12,27200,9.12
2014-12-23,9.26,9.31,9.00,9.20,76300,9.20
2014-12-22,9.31,9.60,9.05,9.13,68400,9.13
2014-12-19,10.00,10.00,8.99,9.15,191400,9.15
2014-12-18,8.75,9.23,8.56,9.03,204000,9.03
2014-12-17,8.20,8.64,8.02,8.38,90500,8.38
2014-12-16,8.32,8.88,8.00,8.02,117300,8.02
2014-12-15,8.25,8.42,8.09,8.27,99000,8.27
2014-12-12,8.30,8.69,8.10,8.11,171700,8.11
2014-12-11,9.13,9.13,8.37,8.41,117600,8.41
2014-12-10,9.00,9.05,8.85,9.00,47200,9.00
2014-12-09,9.36,9.45,8.92,9.01,122800,9.01
2014-12-08,9.92,10.80,9.29,9.55,196200,9.55
2014-12-05,10.05,10.06,9.90,9.96,42200,9.96
2014-12-04,10.11,10.12,9.95,9.97,35300,9.97
2014-12-03,10.15,10.19,9.98,9.98,19200,9.98
2014-12-02,10.25,10.37,10.07,10.13,58300,10.13
2014-12-01,10.28,10.34,10.00,10.18,78400,10.18
2014-11-28,10.40,10.40,10.00,10.18,25400,10.18
2014-11-26,10.17,10.21,10.06,10.10,42700,10.10
2014-11-25,10.38,10.40,10.00,10.05,29100,10.05
2014-11-24,10.00,10.40,9.97,10.40,91100,10.40
2014-11-21,10.00,10.41,9.88,9.91,109300,9.91
2014-11-20,10.40,10.48,9.88,9.91,98800,9.91
2014-11-19,10.50,10.55,10.25,10.41,42900,10.41
2014-11-18,11.01,11.07,10.16,10.40,151700,10.40
2014-11-17,10.65,11.10,10.54,11.04,63600,11.04
2014-11-14,11.05,11.06,10.75,10.78,38600,10.78
2014-11-13,11.17,11.38,10.82,11.02,79700,11.02
2014-11-12,10.80,11.30,10.50,11.16,183800,11.16
2014-11-11,10.15,10.37,10.00,10.27,106100,10.27
2014-11-10,10.01,10.43,10.01,10.15,26600,10.15
2014-11-07,10.06,10.16,9.96,10.03,41000,10.03
2014-11-06,10.00,10.12,9.92,10.00,61100,10.00
2014-11-05,9.97,10.47,9.89,10.11,86800,10.11
2014-11-04,10.43,10.93,9.71,9.88,276800,9.88
2014-11-03,10.99,10.99,10.31,10.49,56400,10.49
2014-10-31,11.46,11.46,10.98,11.01,52100,11.01
2014-10-30,11.02,11.50,11.02,11.23,89700,11.23
