Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,4.03,4.18,3.92,4.05,28200,4.05
2014-12-30,4.12,4.13,4.12,4.13,300,4.13
2014-12-29,4.21,4.31,3.80,4.24,13400,4.24
2014-12-26,4.30,4.30,4.07,4.21,9100,4.21
2014-12-24,4.32,4.38,4.01,4.38,21300,4.38
2014-12-23,4.21,4.40,4.21,4.33,9900,4.33
2014-12-22,4.19,4.35,4.19,4.34,123500,4.34
2014-12-19,4.30,4.30,4.14,4.24,145400,4.24
2014-12-18,4.25,4.30,4.11,4.30,17000,4.30
2014-12-17,4.22,4.24,4.01,4.24,16900,4.24
2014-12-16,4.17,4.25,4.06,4.25,19300,4.25
2014-12-15,4.09,4.26,3.98,4.15,24700,4.15
2014-12-12,4.05,4.09,4.00,4.05,7500,4.05
2014-12-11,4.07,4.09,4.00,4.08,5900,4.08
2014-12-10,4.10,4.16,4.05,4.05,16400,4.05
2014-12-09,4.25,4.27,4.07,4.11,22400,4.11
2014-12-08,4.20,4.20,4.02,4.14,48800,4.14
2014-12-05,4.27,4.27,4.17,4.24,8700,4.24
2014-12-04,4.28,4.28,4.08,4.26,23300,4.26
2014-12-03,4.06,4.28,4.00,4.28,6400,4.28
2014-12-02,4.17,4.28,4.04,4.27,9800,4.27
2014-12-01,4.00,4.31,4.00,4.18,7600,4.18
2014-11-28,4.14,4.14,4.14,4.14,100,4.14
2014-11-26,4.05,4.20,4.02,4.14,9500,4.14
2014-11-25,4.30,4.30,4.06,4.22,3200,4.22
2014-11-24,4.24,4.31,4.20,4.31,1900,4.31
2014-11-21,4.25,4.30,4.17,4.30,11700,4.30
2014-11-20,4.15,4.21,4.15,4.21,4900,4.21
2014-11-19,4.18,4.25,4.18,4.20,4900,4.20
2014-11-18,4.27,4.30,4.16,4.25,21100,4.25
2014-11-17,4.31,4.31,4.21,4.26,7200,4.26
2014-11-14,4.33,4.33,4.11,4.32,21100,4.32
2014-11-13,4.25,4.40,4.25,4.31,18900,4.31
2014-11-12,4.22,4.33,4.22,4.27,74300,4.27
2014-11-11,4.21,4.28,4.20,4.20,6500,4.20
2014-11-10,4.22,4.22,4.20,4.20,2800,4.20
2014-11-07,4.21,4.29,4.20,4.24,79400,4.24
2014-11-06,4.25,4.29,4.21,4.24,34100,4.24
2014-11-05,4.20,4.30,4.20,4.27,27200,4.27
2014-11-04,4.20,4.23,4.20,4.20,39200,4.20
2014-11-03,4.18,4.25,4.11,4.24,34800,4.24
2014-10-31,4.15,4.15,4.06,4.12,2500,4.12
2014-10-30,4.03,4.15,4.03,4.07,6000,4.07
2014-10-29,4.07,4.12,4.04,4.04,2500,4.04
2014-10-28,3.97,4.15,3.97,4.15,18200,4.15
2014-10-27,4.04,4.21,4.04,4.15,6700,4.15
2014-10-24,4.10,4.10,4.01,4.10,28600,4.10
2014-10-23,4.09,4.14,4.04,4.04,41200,4.04
2014-10-22,4.03,4.11,3.93,4.06,44400,4.06
2014-10-21,3.92,4.08,3.92,4.01,187400,4.01
2014-10-20,3.97,4.08,3.91,4.05,8500,4.05
2014-10-17,4.04,4.05,3.94,4.00,11800,4.00
2014-10-16,3.86,4.03,3.86,3.96,7600,3.96
2014-10-15,3.75,4.05,3.75,4.00,88200,4.00
2014-10-14,4.00,4.02,3.78,4.00,33400,4.00
2014-10-13,4.00,4.00,3.90,3.98,16100,3.98
2014-10-10,3.99,4.07,3.95,4.00,12200,4.00
2014-10-09,4.06,4.11,4.00,4.10,115000,4.10
2014-10-08,4.22,4.26,3.95,4.25,94100,4.25
2014-10-07,3.95,4.05,3.94,4.00,15200,4.00
2014-10-06,3.90,4.16,3.77,4.13,14300,4.13
2014-10-03,4.00,4.29,3.91,4.15,38300,4.15
2014-10-02,4.08,4.27,3.74,4.27,32500,4.27
2014-10-01,4.21,4.21,4.03,4.10,105900,4.10
2014-09-30,4.14,4.25,4.00,4.21,26100,4.21
2014-09-29,4.39,4.39,4.00,4.23,138700,4.23
2014-09-26,4.00,4.40,4.00,4.40,161500,4.40
2014-09-25,4.35,4.44,3.80,4.00,29800,4.00
2014-09-24,3.70,4.34,3.61,4.34,94400,4.34
2014-09-23,4.45,4.45,3.90,4.26,81700,4.26
2014-09-22,4.75,4.75,4.10,4.35,21900,4.35
